Mouser,Quantity
107-ACT4065ASH-T,1
77-VJ0603Y103KXAAC,1
710-885012205027,1
603-AC0402JR-078K2L,1
652-SRN8040TA-330M,1
667-ERJ-6ENF5102V,1
603-RC0402JR-0710KL,2
710-875105242010,1
78-VS-MBRS340-M39AT,1
701-SP485CN-L/TR,1
710-885012105018,1
755-SFR03EZPJ000,1
647-UWT1V470MCL1S,1
710-865060542002,2
