Mouser,Quantity
511-LIS2DE12TR,1
262-BMG250,1
595-TPS613222ADBVR,1
963-LMK212BJ226MG-T,1
963-NRH2410T4R7MN,1
710-885012105018,5
595-430FR2512IRHLR,1
710-885012105003,3
520-ECS327-6-13-X,1
81-GCQ1555C1H100RB1D,2
810-CGB3B1X5R1A475MC,8
791-RMC1/16S-471JTH,3
603-RC0603JR-0747KL,2
710-885012207033,2
603-RT0402FRE074K7L,4
755-ESR03EZPJ102,1
863-BC847BLT1G,1
755-ESR03EZPJ330,4
941-JB3030W00A0UC435,1
595-TPS22917DBVR,1
621-DMP3099L-7,1
